timestamp_s,mode,voltage_V,current_A,power_W
1075.12,TRANSIT,5.1519999504089355,1.6319999694824219,8.408063888549805
1075.94,TRANSIT,5.1519999504089355,1.6239999532699585,8.36684799194336
1076.94,TRANSIT,5.1519999504089355,1.6480000019073486,8.490495681762695
1077.94,TRANSIT,5.1519999504089355,1.5119999647140503,7.78982400894165
1078.94,TRANSIT,5.159999847412109,1.4079999923706055,7.265279769897461
1079.94,TRANSIT,5.159999847412109,1.3279999494552612,6.852479934692383
1080.94,TRANSIT,5.159999847412109,1.343999981880188,6.93503999710083
1081.94,DECISION,5.159999847412109,1.3279999494552612,6.852479934692383
1082.94,DECISION,5.1519999504089355,1.472000002861023,7.583744049072266
1083.96,DECISION,5.1519999504089355,1.496000051498413,7.70739221572876
1084.94,DECISION,5.1519999504089355,1.6239999532699585,8.36684799194336
1085.94,DECISION,5.1519999504089355,1.6399999856948853,8.44927978515625
1087.14,STANDBY,5.1519999504089355,1.6480000019073486,8.490495681762695
1087.97,STANDBY,5.1519999504089355,1.656000018119812,8.53171157836914
1089.68,TRANSIT,5.1519999504089355,1.656000018119812,8.53171157836914
1089.94,TRANSIT,5.1519999504089355,1.6239999532699585,8.36684799194336
1090.94,TRANSIT,5.1519999504089355,1.6239999532699585,8.36684799194336
1091.94,TRANSIT,5.1519999504089355,1.6080000400543213,8.284416198730469
1092.94,TRANSIT,5.159999847412109,1.3200000524520874,6.811200141906738
1093.94,TRANSIT,5.168000221252441,1.215999960899353,6.284287929534912
1094.94,TRANSIT,5.168000221252441,1.1440000534057617,5.912191867828369
1095.94,TRANSIT,5.168000221252441,1.1519999504089355,5.953536033630371
1096.94,TRANSIT,5.168000221252441,1.159999966621399,5.994880199432373
1097.94,TRANSIT,5.159999847412109,1.2799999713897705,6.604800224304199
1098.94,DECISION,5.1519999504089355,1.4800000190734863,7.624959945678711
1099.94,DECISION,5.159999847412109,1.4639999866485596,7.5542402267456055
1100.94,DECISION,5.159999847412109,1.3680000305175781,7.058879852294922
1101.98,DECISION,5.1519999504089355,1.600000023841858,8.243200302124023
1103.07,DECISION,5.1519999504089355,1.600000023841858,8.243200302124023
1104.39,STANDBY,5.1519999504089355,1.6480000019073486,8.490495681762695
1104.95,STANDBY,5.1519999504089355,1.656000018119812,8.53171157836914
1108.11,TRANSIT,5.1519999504089355,1.6480000019073486,8.490495681762695
1108.94,TRANSIT,5.159999847412109,1.3839999437332153,7.141439914703369
1109.94,TRANSIT,5.159999847412109,1.2719999551773071,6.5635199546813965
1110.94,TRANSIT,5.168000221252441,1.184000015258789,6.118912220001221
1111.94,TRANSIT,5.168000221252441,1.1920000314712524,6.1602559089660645
1112.94,TRANSIT,5.159999847412109,1.2480000257492065,6.439680099487305
1113.94,TRANSIT,5.168000221252441,1.1519999504089355,5.953536033630371
1114.94,TRANSIT,5.159999847412109,1.2719999551773071,6.5635199546813965
1115.94,DECISION,5.159999847412109,1.2879999876022339,6.646080017089844
1116.94,DECISION,5.159999847412109,1.312000036239624,6.7699198722839355
1117.94,DECISION,5.159999847412109,1.4479999542236328,7.471680164337158
1118.94,DECISION,5.1519999504089355,1.6160000562667847,8.325632095336914
1119.94,DECISION,5.1519999504089355,1.6399999856948853,8.44927978515625
1120.94,STANDBY,5.1519999504089355,1.6399999856948853,8.44927978515625
1121.94,STANDBY,5.1519999504089355,1.6480000019073486,8.490495681762695
1123.77,TRANSIT,5.1519999504089355,1.6480000019073486,8.490495681762695
1124.02,TRANSIT,5.1519999504089355,1.6080000400543213,8.284416198730469
1124.94,TRANSIT,5.1519999504089355,1.6399999856948853,8.44927978515625
1125.94,TRANSIT,5.1519999504089355,1.5920000076293945,8.201984405517578
1126.98,TRANSIT,5.1519999504089355,1.6319999694824219,8.408063888549805
1127.94,TRANSIT,5.1519999504089355,1.4880000352859497,7.666175842285156
1128.94,TRANSIT,5.159999847412109,1.312000036239624,6.7699198722839355
1129.94,TRANSIT,5.168000221252441,1.1759999990463257,6.077568054199219
1130.94,TRANSIT,5.168000221252441,1.2239999771118164,6.325632095336914
1131.94,TRANSIT,5.159999847412109,1.2960000038146973,6.687359809875488
1132.94,DECISION,5.159999847412109,1.3600000143051147,7.017600059509277
1133.94,DECISION,5.159999847412109,1.4079999923706055,7.265279769897461
1134.94,DECISION,5.159999847412109,1.4559999704360962,7.512959957122803
1135.97,DECISION,5.1519999504089355,1.6319999694824219,8.408063888549805
1136.94,DECISION,5.1519999504089355,1.656000018119812,8.53171157836914
1137.94,STANDBY,5.1519999504089355,1.656000018119812,8.53171157836914
1138.94,STANDBY,5.1519999504089355,1.6480000019073486,8.490495681762695
1141.57,TRANSIT,5.1519999504089355,1.6480000019073486,8.490495681762695
1141.94,TRANSIT,5.1519999504089355,1.6319999694824219,8.408063888549805
1142.96,TRANSIT,5.1519999504089355,1.5839999914169312,8.160767555236816
1143.96,TRANSIT,5.1519999504089355,1.5839999914169312,8.160767555236816
1144.94,TRANSIT,5.1519999504089355,1.656000018119812,8.53171157836914
1145.94,TRANSIT,5.1519999504089355,1.6640000343322754,8.572928428649902
1147.2,TRANSIT,5.1519999504089355,1.6720000505447388,8.614144325256348
1147.99,TRANSIT,5.1519999504089355,1.6720000505447388,8.614144325256348
1148.94,TRANSIT,5.1519999504089355,1.6720000505447388,8.614144325256348
1155.46,STANDBY,5.1519999504089355,1.6640000343322754,8.572928428649902
1155.94,STANDBY,5.1519999504089355,1.5199999809265137,7.831039905548096
