[INFO] [1775689691.909037675] [exp6_cnn_detection]: Experiment 6 — CNN Target Recognition starting ...
[INFO] [1775689694.918723781] [exp6_cnn_detection]: 
  Condition: normal  Class: red_cube
[INFO] [1775689694.920480107] [exp6_cnn_detection]:     Set up red_cube at 0.5 m under "normal" lighting. Press Enter ...
[TRTDetector] Engine not found at /home/jetson/models/formica_target_det.trt. Using HSV colour-blob fallback.
[DataLogger] Writing to /home/jetson/formica_experiments/data/exp6_cnn_20260408_230811.csv
[WARN] [1775690932.175586273] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690937.226673201] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690942.275527404] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690947.325680347] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690952.373340402] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690957.425678558] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690962.475186257] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690967.525164434] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690972.575091297] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690977.623805753] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690982.673239263] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690987.725644651] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690992.776687599] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690997.823131639] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691002.874814653] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691007.925348099] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691012.978196394] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691018.030702689] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691023.087173723] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691028.137427511] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691033.186198467] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691038.228096745] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691043.279210669] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691048.330489738] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691053.378300465] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691058.428981465] [exp6_cnn_detection]: Camera timeout.
[INFO] [1775691058.451621835] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1775691058.453068032] [exp6_cnn_detection]:     Set up green_cylinder at 2.5 m under "normal" lighting. Press Enter ...
[WARN] [1775691063.484158091] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691068.533531085] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691073.582699664] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691078.631374793] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691083.684089584] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691088.755244722] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691093.807692480] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691098.854504815] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691103.906648448] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691108.956137946] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691114.002704757] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691119.054678460] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691124.102340132] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691129.152095555] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691134.199788740] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691139.250356999] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691144.298824771] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691149.349276164] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691154.400190584] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691159.456805945] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691164.510196580] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691169.565276796] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691174.621663130] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691179.671103616] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691184.722978417] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691189.770511277] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691194.821725573] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691199.873587848] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691204.924979135] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691209.973943741] [exp6_cnn_detection]: Camera timeout.
[INFO] [1775691209.998053299] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1775691209.999862536] [exp6_cnn_detection]:   mAP (normal / green_cylinder) = 0.0000
[INFO] [1775691210.002271107] [exp6_cnn_detection]: 
  Condition: normal  Class: blue_sphere
[INFO] [1775691210.003615994] [exp6_cnn_detection]:     Set up blue_sphere at 0.5 m under "normal" lighting. Press Enter ...
[WARN] [1775691215.034204236] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691220.089672110] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691225.140567393] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691230.191857848] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691235.247059596] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691240.300587301] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691245.352903059] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691250.403024264] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691255.453733902] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691260.505978201] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691265.557020776] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691270.607971800] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691275.657020581] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691280.705492381] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691285.759714840] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775691290.810256089] [exp6_cnn_detection]: Camera timeout.
